Food,Category,Amount,Calories,Carbs(in g),Fat(in g),Protein(in g),Meal_type,Region,Type,Categories
dosa,ragi dosa, 1 cup,126,0,0,0,Breakfast,South Indian,Vegetarian,Healthy
Cheese Dosa,Dosa-cheese Dosa, 1 Dosa,175,4,15,7,Breakfast,South Indian,Vegetarian,Healthy
Rice Dosa,Dosa, 3 Cooked,203,20,0,0,Breakfast,South Indian,Vegetarian,Healthy
Plain Dosa,Dosa, 4 piece,600,76,28,28,Breakfast,South Indian,Vegetarian,Healthy
Spring Dosa,Spring Dosa, 1 pc,581,52,41,8,Breakfast,South Indian,Vegetarian,Healthy
dosa,dosa podi, 51 gms,180,40,0,5,Breakfast,South Indian,Vegetarian,Healthy
Janak - Dosa,Janak - Dosa, 1 dosa,80,15,2,2,Breakfast,South Indian,Vegetarian,Healthy
Shezwan Sada Dosa,Dosa, 1 plate,157,30,3,5,Breakfast,South Indian,Vegetarian,Healthy
Homemade Wheat Dosa,Wheat Dosa, 2 dosa,149,22,5,3,Breakfast,South Indian,Vegetarian,Healthy
Masala Dosa,Masala Dosa,1 piece,140,22,5,4,Breakfast,South Indian,Vegetarian,Healthy
Millet Dosa (Bajra Dosa),Homemade, 1 cooked (2.4oz),70,17,0,2,Breakfast,South Indian,Vegetarian,Healthy
Dosa,Dosa, 30 gram,117,23,1,4,Breakfast,South Indian,Vegetarian,Healthy
Lentil Dosa,Homemade Ada Dosa, 1 dosa,120,24,1,3,Breakfast,South Indian,Vegetarian,Healthy
Dosa,Gits, 50 g Uncooked,160,34,0,5,Breakfast,South Indian,Vegetarian,Healthy
Dosa,Dosa  Nirapara,3 pieces,365,79,1,11,Breakfast,South Indian,Vegetarian,Healthy
dosa,annas dosa, 22 .4 gm,82,15,1,3,Breakfast,South Indian,Vegetarian,Healthy
Dosa,Dosa batter, 100 g,322,65,1,11,Breakfast,South Indian,Vegetarian,Healthy
Plain,Dosa, 1 Piece,106,18,3,3,Breakfast,All Indian,Vegetarian,Healthy
White Rice Dosa,White Rice Dosa, 1 Dosa,80,17,0,2,Breakfast,South Indian,Vegetarian,Healthy
Dosa,Aditi Dosa Batter, 1.4 oz,61,17,0,3,Breakfast,South Indian,Vegetarian,Healthy
Ragi Idly,Ragi Idly, 1 plate,80,0,0,0,Breakfast,South Indian,Vegetarian,Healthy
Idly,Generic, 1 Idly,79,17,0,3,Breakfast,South Indian,Vegetarian,Healthy
Idly,Homemade, 5 Idly,140,40,6,6,Breakfast,South Indian,Vegetarian,Healthy
Idly,Home, 12.7 g,45,9,0,2,Breakfast,South Indian,Vegetarian,Healthy
Idly,Tok Madras idly, 1 piece,92,19,0,3,Breakfast,South Indian,Vegetarian,Healthy
idly podi,Idly Podi, 9 g,50,5,3,2,Breakfast,South Indian,Vegetarian,Healthy
Idly Rice,Laxmi Idly Rice, 0.25 cup dry (45)g,180,42,0,3,Breakfast,South Indian,Vegetarian,Healthy
Idly,ID, 5 plate,142,28,1,5,Breakfast,South Indian,Vegetarian,Healthy
Rava Idly,My, 1 No,82,14,2,2,Breakfast,South Indian,Vegetarian,Healthy
Idly Podi,Generic, 1 fluid ounce,42,8,1,2,Breakfast,South Indian,Vegetarian,Healthy
Idly Sambar,Naadan Frozen Idly with Sambar, 2 pieces,85,19,0,2,Breakfast,South Indian,Vegetarian,Healthy
Idly (Medium),Indian, 1 Medium,60,15,0,2,Breakfast,South Indian,Vegetarian,Healthy
Idly,Id Idly Dosa Batter, 100 gram,143,26,2,6,Breakfast,South Indian,Vegetarian,Healthy
"Idly, Sambar",Generic, 3 table spoons full,2000,250,150,250,Breakfast,South Indian,Vegetarian,Healthy
Idly,Low Salt, 1 idly,65,36,2,2,Breakfast,South Indian,Vegetarian,Healthy
Idly,Sudarsan, 1 piece,40,8,0,2,Breakfast,South Indian,Vegetarian,Healthy
Idly,Mothers'  Choice, 50 g (2 pcs),130,24,0,1,Breakfast,South Indian,Vegetarian,Healthy
Idly Chilly Powder Aachi,Idly Chilly Powder, 5 g,16,2,0,1,Breakfast,South Indian,Vegetarian,Healthy
Rava Idly,Swastiks, 4 Idlies,380,64,8,11,Breakfast,South Indian,Vegetarian,Healthy
"Homemade, Vk",Idly, 1 Idly,40,8,0,2,Breakfast,South Indian,Vegetarian,Healthy
Indian Chicken Curry,Generic Indian Restaurant, 1 cup cooked (about 8 oz),300,11,16,27,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Indian Chicken Curry,Dfac, 8 oz,280,3,9,45,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Indian Curry Chicken,Homemade, 1 Chicken Breast,191,6,5,28,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Indian Chicken Curry,Sodexo, 1 cup,310,14,22,19,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Curry Chicken,West Indian, 1 cup,574,37,31,36,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Chicken Red Curry,Indian, 1 serving,330,28,28,19,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Curry Chicken Wrap,Indian, 13 ounces (2 cups),526,79,15,26,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Indian,Curry Chicken Peas, 1 bowl (235.25g),305,23,15,18,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Homemade Indian Chicken Curry,Allrecipes.Com Indian Chicken Curry (Murgh Kari), 1 Serving,427,15,24,38,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Indian Curry Chicken,Wegman's, 1 cup,190,4,7,33,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Indian Chicken Curry,Kelsey's, 0.5 cup,119,6,7,8,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
