Food,Category,Amount,Calories,Carbs(in g),Fat(in g),Protein(in g)
dosa,ragi dosa, 1 cup,126,0,0,0
Cheese Dosa,Dosa-cheese Dosa, 1 Dosa,175,4,15,7
Rice Dosa,Dosa, 3 Cooked,203,20,0,0
Plain Dosa,Dosa, 4 piece,600,76,28,28
Spring Dosa,Spring Dosa, 1 pc,581,52,41,8
dosa,dosa podi, 51 gms,180,40,0,5
Janak - Dosa,Janak - Dosa, 1 dosa,80,15,2,2
Shezwan Sada Dosa,Dosa, 1 plate,157,30,3,5
Homemade Wheat Dosa,Wheat Dosa, 2 dosa,149,22,5,3
Masala Dosa,Masala Dosa, 1 컵,140,22,5,4
Millet Dosa (Bajra Dosa),Homemade, 1 cooked (2.4oz),70,17,0,2
Dosa,Dosa, 30 gram,117,23,1,4
Lentil Dosa,Homemade Ada Dosa, 1 dosa,120,24,1,3
Dosa,Gits, 50 g Uncooked,160,34,0,5
Dosa,Dosa  Nirapara, 3 шт,365,79,1,11
dosa,annas dosa, 22 .4 gm,82,15,1,3
Dosa,Dosa batter, 100 g,322,65,1,11
Plain,Dosa, 1 Piece,106,18,3,3
White Rice Dosa,White Rice Dosa, 1 Dosa,80,17,0,2
Dosa,Aditi Dosa Batter, 1.4 oz,61,17,0,3
Ragi Idly,Ragi Idly, 1 plate,80,0,0,0
Idly,Generic, 1 Idly,79,17,0,3
Idly,Homemade, 5 Idly,140,40,6,6
Idly,Home, 12.7 g,45,9,0,2
Idly,Tok Madras idly, 1 piece,92,19,0,3
idly podi,Idly Podi, 9 g,50,5,3,2
Idly Rice,Laxmi Idly Rice, 0.25 cup dry (45)g,180,42,0,3
Idly,ID, 5 plate,142,28,1,5
Rava Idly,My, 1 No,82,14,2,2
Idly Podi,Generic, 1 fluid ounce,42,8,1,2
Idly Sambar,Naadan Frozen Idly with Sambar, 2 pieces,85,19,0,2
Idly (Medium),Indian, 1 Medium,60,15,0,2
Idly,Id Idly Dosa Batter, 100 gram,143,26,2,6
"Idly, Sambar",Generic, 3 table spoons full,2000,250,150,250
Idly,Low Salt, 1 idly,65,36,2,2
Idly,Sudarsan, 1 piece,40,8,0,2
Idly,Mothers'  Choice, 50 g (2 pcs),130,24,0,1
Idly Chilly Powder Aachi,Idly Chilly Powder, 5 g,16,2,0,1
Rava Idly,Swastiks, 4 Idlies,380,64,8,11
"Homemade, Vk",Idly, 1 Idly,40,8,0,2
Indian Chicken Curry,Generic Indian Restaurant, 1 cup cooked (about 8 oz),300,11,16,27
Indian Chicken Curry,Dfac, 8 oz,280,3,9,45
Indian Curry Chicken,Homemade, 1 Chicken Breast,191,6,5,28
